Designator,Mid X,Mid Y,Rotation,Layer
Hole_gge12314,73.723593,25.746107,180.0,top
Hole_gge26318,50.458693,136.423007,180.0,top
Hole_gge26333,78.168593,136.423007,180.0,top
Hole_gge31514,50.868693,128.593207,180.0,top
Hole_gge31529,50.868693,132.183307,180.0,top
Hole_gge6255,78.168593,31.063307,180.0,top
Hole_gge6258,50.458693,31.063307,180.0,top
J1,82.063593,53.511107,180.0,top
J2,79.423593,53.511107,180.0,bottom
J3,51.593593,53.511107,180.0,top
J4,48.963593,53.511107,180.0,bottom
J5,64.723593,40.246107,270.0,top
J6,59.208593,63.611107,90.0,top
J7,66.655693,125.138907,0.0,top
J8,68.372493,83.327407,180.0,top
J9,54.918593,83.301107,180.0,top
R3,64.452593,26.634807,180.0,top
R4,64.452593,31.714807,180.0,top
